                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97842,                0.81015,                 1.1207,                0.71226,                0.61934,                0.69969,                0.44341,                 1.5426,                 1.3246,                 1.5245,             0.00014728,             0.00014728,             0.00014728
                      2,                0.92938,                0.72654,                 1.0957,                0.67009,                0.64478,                 0.6889,                0.41939,                  1.618,                 1.3535,                 1.5786,             0.00029685,             0.00029685,             0.00029685
                      3,                 0.9388,                0.73492,                 1.0916,                0.66103,                0.65359,                0.67134,                0.41661,                 1.6087,                 1.4307,                 1.6149,              0.0004434,              0.0004434,              0.0004434
                      4,                0.94626,                0.72986,                 1.0987,                0.79925,                0.57871,                0.71238,                 0.4159,                 1.5888,                 1.4146,                 1.5664,             0.00051038,             0.00051038,             0.00051038
                      5,                 0.9342,                0.74176,                 1.0951,                0.73334,                0.58672,                0.66434,                0.37965,                  1.576,                 1.4069,                 1.5879,             0.00050517,             0.00050517,             0.00050517
                      6,                0.96574,                0.74159,                 1.1084,                0.76234,                 0.5877,                0.70582,                0.39004,                 1.6938,                  1.429,                 1.7017,             0.00049996,             0.00049996,             0.00049996
                      7,                0.94572,                0.73056,                 1.1023,                0.69302,                0.60036,                0.66308,                0.39472,                 1.6818,                 1.5268,                 1.7062,             0.00049476,             0.00049476,             0.00049476
                      8,                0.97264,                0.75267,                 1.1166,                0.68977,                0.56083,                0.65615,                0.36367,                 1.7164,                 1.5352,                 1.6571,             0.00048955,             0.00048955,             0.00048955
                      9,                0.97207,                0.73348,                 1.1013,                0.72714,                0.55142,                0.68105,                0.40095,                 1.6472,                 1.4752,                 1.6227,             0.00048434,             0.00048434,             0.00048434
                     10,                0.98241,                0.73875,                 1.1261,                0.69877,                0.57164,                0.67334,                0.39813,                 1.6956,                 1.4824,                  1.674,             0.00047913,             0.00047913,             0.00047913
                     11,                0.96485,                0.75471,                 1.1073,                0.70574,                0.57118,                0.66385,                0.37615,                 1.7573,                 1.7155,                 1.7266,             0.00047393,             0.00047393,             0.00047393
                     12,                0.96269,                0.71946,                 1.0977,                0.72119,                 0.5182,                0.66529,                0.36893,                 1.6384,                 1.5582,                 1.6056,             0.00046872,             0.00046872,             0.00046872
                     13,                0.96569,                0.73802,                 1.1067,                  0.793,                0.54204,                0.68688,                0.39262,                 1.6508,                 1.3443,                 1.6084,             0.00046351,             0.00046351,             0.00046351
                     14,                0.93249,                 0.7193,                 1.0942,                0.70891,                0.66431,                 0.6969,                0.39617,                 1.6639,                 1.4264,                 1.6314,              0.0004583,              0.0004583,              0.0004583
                     15,                0.96628,                0.72171,                 1.1004,                0.61368,                0.69111,                0.69117,                0.40891,                 1.5544,                 1.4098,                 1.5947,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0188,                0.75014,                 1.1313,                0.61494,                0.67132,                0.68396,                 0.4023,                  1.571,                  1.508,                  1.561,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0388,                0.77555,                 1.1477,                0.77436,                0.55985,                0.69365,                0.41786,                 1.5683,                 1.4769,                 1.5525,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0405,                0.79075,                 1.1509,                0.70468,                    0.6,                 0.6643,                 0.4131,                 1.5881,                 1.5185,                 1.5699,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0425,                0.79051,                 1.1519,                 0.7878,                0.52458,                0.64788,                0.39051,                 1.6234,                 1.6106,                 1.5825,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0497,                0.80006,                 1.1395,                0.73036,                0.57009,                0.67196,                0.37955,                 1.6258,                 1.5211,                  1.598,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0159,                0.76598,                   1.12,                0.79392,                0.60313,                0.70814,                0.40966,                 1.5852,                 1.4587,                 1.5729,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0529,                0.81451,                 1.1444,                0.78812,                0.53438,                0.69015,                0.40126,                 1.6263,                 1.4487,                 1.5795,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0053,                0.76547,                 1.1298,                0.75104,                0.62804,                0.69171,                0.40804,                  1.596,                 1.4831,                 1.5683,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0257,                0.78756,                 1.1313,                0.75213,                0.56497,                0.66935,                0.40917,                 1.6009,                 1.5354,                 1.5588,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0014,                0.77225,                 1.1261,                0.79899,                0.59573,                0.69965,                0.42414,                 1.5712,                 1.4042,                  1.569,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0167,                0.76439,                 1.1393,                0.68437,                0.62721,                 0.6823,                0.38692,                 1.6012,                 1.4421,                 1.5813,             0.00039581,             0.00039581,             0.00039581
