                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0123,                0.84418,                 1.1226,                0.75133,                0.63636,                0.66217,                0.40529,                 1.5744,                  1.519,                 1.5125,             0.00014202,             0.00014202,             0.00014202
                      2,                  1.033,                0.84226,                 1.1321,                0.80723,                0.57442,                 0.6435,                0.36504,                 1.6303,                 1.4616,                   1.55,             0.00028644,             0.00028644,             0.00028644
                      3,                 1.0676,                0.87137,                 1.1539,                0.76805,                0.57715,                0.65623,                0.37851,                  1.576,                 1.5302,                 1.5338,             0.00042794,             0.00042794,             0.00042794
                      4,                 1.0677,                0.87375,                 1.1471,                 0.7174,                0.58572,                0.69473,                0.39167,                 1.6338,                 1.5401,                 1.5751,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.1186,                0.90625,                 1.1795,                0.82714,                 0.5558,                0.66714,                0.36188,                 1.6274,                 1.4752,                  1.563,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.0743,                0.89859,                 1.1654,                0.78731,                0.61009,                0.67528,                0.37806,                  1.679,                 1.6793,                 1.6428,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.0697,                0.89173,                 1.1559,                0.78863,                0.56537,                0.66944,                0.39731,                 1.6242,                 1.6595,                 1.5932,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.1133,                0.88543,                 1.1859,                0.68866,                0.57379,                 0.6474,                0.38193,                 1.5783,                 1.6652,                 1.5408,             0.00048955,             0.00048955,             0.00048955
                      9,                  1.122,                0.91379,                 1.1865,                0.74095,                0.64277,                0.68559,                0.40516,                 1.5622,                 1.5204,                 1.5418,             0.00048434,             0.00048434,             0.00048434
                     10,                  1.123,                0.89984,                 1.1737,                0.68704,                0.62821,                 0.6906,                0.41669,                 1.5099,                  1.451,                  1.475,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.1013,                0.91969,                  1.168,                0.65909,                0.65523,                0.70961,                0.40848,                 1.5637,                 1.4915,                 1.4934,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.0865,                0.87391,                 1.1659,                0.74625,                0.59835,                 0.6695,                0.40206,                 1.5924,                 1.5163,                 1.5307,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.0742,                0.85973,                 1.1516,                0.75137,                0.59498,                0.67331,                0.42002,                 1.5159,                 1.5112,                 1.4741,             0.00046351,             0.00046351,             0.00046351
                     14,                  1.073,                0.88935,                 1.1673,                0.68932,                 0.5927,                 0.6419,                0.38424,                 1.4911,                 1.6133,                 1.4626,              0.0004583,              0.0004583,              0.0004583
                     15,                  1.091,                0.86584,                 1.1599,                0.78667,                0.54254,                0.65736,                0.38143,                 1.5633,                 1.6826,                  1.497,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0674,                0.85436,                 1.1563,                0.67469,                0.63901,                0.68475,                0.42134,                 1.5407,                 1.4829,                 1.4953,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0621,                0.82444,                 1.1494,                0.70458,                0.55854,                0.66128,                0.40452,                 1.6019,                 1.5406,                 1.5386,             0.00044268,             0.00044268,             0.00044268
