                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83046,                0.69238,                 1.0613,                0.73496,                0.65741,                0.70373,                0.43761,                 1.5677,                 1.3181,                 1.5696,             0.00014728,             0.00014728,             0.00014728
                      2,                0.92651,                0.71714,                 1.0925,                0.79243,                0.58397,                0.69027,                 0.4179,                 1.6211,                 1.3382,                 1.5798,             0.00029685,             0.00029685,             0.00029685
                      3,                0.93485,                0.72423,                 1.0901,                0.66495,                0.63084,                0.65859,                0.40504,                 1.6384,                 1.4348,                 1.6394,              0.0004434,              0.0004434,              0.0004434
                      4,                0.95082,                0.73012,                 1.1012,                0.69301,                 0.6892,                0.71816,                0.42094,                 1.6211,                 1.3497,                 1.6155,             0.00051038,             0.00051038,             0.00051038
                      5,                 0.9436,                0.73703,                 1.0984,                0.67847,                0.65632,                0.67291,                0.40713,                 1.5524,                 1.3544,                 1.5756,             0.00050517,             0.00050517,             0.00050517
                      6,                0.96893,                0.73472,                 1.1074,                0.69944,                0.65232,                0.69213,                0.39242,                 1.6606,                 1.3343,                 1.6529,             0.00049996,             0.00049996,             0.00049996
                      7,                0.94582,                0.72445,                 1.0998,                0.71134,                0.59201,                0.67022,                0.37484,                 1.6691,                  1.561,                 1.6803,             0.00049476,             0.00049476,             0.00049476
                      8,                0.96274,                0.74716,                 1.1119,                0.70656,                0.56221,                0.65385,                 0.3599,                 1.7166,                 1.5718,                 1.6716,             0.00048955,             0.00048955,             0.00048955
                      9,                0.97239,                0.73506,                 1.0997,                0.70687,                0.64183,                 0.7063,                0.40305,                 1.6567,                 1.4734,                 1.6026,             0.00048434,             0.00048434,             0.00048434
                     10,                0.97089,                0.72906,                 1.1239,                 0.7575,                0.60217,                0.68992,                0.39733,                 1.6914,                 1.4298,                 1.6893,             0.00047913,             0.00047913,             0.00047913
                     11,                0.96532,                0.74632,                 1.1038,                0.78915,                0.57446,                0.67817,                0.40023,                 1.6586,                 1.5805,                 1.6576,             0.00047393,             0.00047393,             0.00047393
                     12,                0.95885,                0.70712,                 1.0974,                0.86488,                0.51356,                0.65092,                0.39676,                 1.5945,                 1.6208,                 1.5801,             0.00046872,             0.00046872,             0.00046872
                     13,                0.96405,                0.73759,                   1.11,                0.76926,                0.57197,                0.64644,                0.37969,                 1.7226,                 1.5743,                 1.6588,             0.00046351,             0.00046351,             0.00046351
                     14,                0.94443,                0.71868,                 1.0953,                0.69305,                0.60904,                0.65564,                0.36764,                 1.6848,                 1.5691,                  1.642,              0.0004583,              0.0004583,              0.0004583
                     15,                0.95988,                0.72083,                 1.0947,                0.73278,                 0.6514,                0.69029,                0.40538,                 1.5919,                 1.4214,                 1.6003,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0172,                0.75206,                 1.1242,                0.75237,                0.59296,                0.66923,                0.39869,                 1.6118,                 1.4633,                  1.581,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0301,                0.78452,                 1.1476,                0.75396,                 0.6283,                0.70503,                0.40384,                 1.6132,                 1.3797,                 1.5849,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0424,                0.80234,                 1.1531,                0.75192,                0.60692,                0.68499,                0.40374,                 1.5898,                 1.3475,                 1.5821,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0615,                0.80452,                 1.1563,                0.76953,                  0.596,                0.67937,                0.39406,                 1.7384,                 1.4997,                 1.6808,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0474,                0.79939,                 1.1384,                0.74119,                0.56227,                0.68135,                0.39773,                 1.6471,                 1.5188,                 1.5944,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0179,                0.77104,                 1.1175,                  0.763,                0.61314,                0.68753,                0.39827,                 1.5836,                 1.4947,                 1.5389,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0517,                 0.8096,                 1.1389,                 0.6968,                0.63693,                 0.7049,                0.39608,                 1.6491,                 1.4383,                 1.5987,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0035,                0.76462,                 1.1285,                0.69824,                0.61277,                0.67934,                0.40937,                 1.6374,                 1.4319,                 1.5927,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0243,                 0.7851,                 1.1348,                0.65729,                0.66156,                0.69079,                 0.4164,                 1.5926,                 1.4142,                 1.5825,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0132,                0.77701,                 1.1324,                0.73233,                0.64958,                0.71461,                 0.4208,                 1.5757,                 1.3596,                  1.561,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0094,                0.76993,                 1.1317,                0.68187,                0.65893,                0.70567,                 0.3985,                 1.6341,                 1.3427,                 1.6153,             0.00039581,             0.00039581,             0.00039581
