                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58733,                0.53141,                0.96154,                  0.715,                 0.7012,                0.73394,                0.44805,                 1.6005,                 1.3095,                 1.6368,             0.00014728,             0.00014728,             0.00014728
                      2,                0.74585,                0.57919,                 1.0077,                0.71604,                0.68746,                0.73888,                0.43548,                  1.643,                  1.345,                 1.6639,             0.00029685,             0.00029685,             0.00029685
                      3,                0.77235,                0.61213,                 1.0162,                0.75124,                0.65275,                0.69916,                0.40901,                 1.6566,                 1.4076,                 1.7034,              0.0004434,              0.0004434,              0.0004434
                      4,                0.89001,                0.67545,                 1.0692,                0.79377,                0.52204,                0.64844,                0.38593,                 1.6251,                 1.5965,                  1.651,             0.00051038,             0.00051038,             0.00051038
                      5,                0.97487,                0.75186,                 1.1163,                 0.7396,                 0.6281,                0.66385,                0.39167,                 1.5809,                 1.3902,                 1.6269,             0.00050517,             0.00050517,             0.00050517
                      6,                0.98536,                0.75447,                 1.1181,                0.76022,                 0.5757,                 0.6653,                0.38585,                 1.6536,                 1.4473,                 1.6553,             0.00049996,             0.00049996,             0.00049996
                      7,                0.94396,                0.73181,                 1.0984,                0.65432,                0.64254,                0.67359,                0.39831,                  1.665,                 1.5401,                  1.607,             0.00049476,             0.00049476,             0.00049476
                      8,                0.98033,                0.76626,                 1.1229,                0.68151,                0.57531,                0.63576,                0.37224,                  1.683,                 1.4962,                 1.7027,             0.00048955,             0.00048955,             0.00048955
                      9,                0.96821,                0.73531,                  1.104,                0.73059,                0.56034,                0.67625,                0.38684,                 1.6581,                 1.4601,                 1.6546,             0.00048434,             0.00048434,             0.00048434
                     10,                0.98771,                0.73405,                 1.1328,                0.79017,                0.60097,                0.69035,                0.40134,                 1.6795,                 1.4098,                 1.6834,             0.00047913,             0.00047913,             0.00047913
                     11,                0.97364,                0.74379,                 1.1106,                0.68938,                0.61601,                0.66007,                0.39803,                 1.7296,                  1.526,                 1.7292,             0.00047393,             0.00047393,             0.00047393
                     12,                0.95628,                0.72556,                 1.0997,                0.66678,                0.65159,                0.68978,                0.41849,                 1.6043,                 1.4725,                 1.6112,             0.00046872,             0.00046872,             0.00046872
                     13,                0.96286,                 0.7371,                 1.1124,                0.70794,                0.61867,                 0.6699,                0.38105,                 1.6491,                 1.4645,                 1.6004,             0.00046351,             0.00046351,             0.00046351
                     14,                0.94184,                0.71089,                 1.0929,                0.79371,                0.58769,                0.65325,                0.35872,                 1.7055,                 1.6697,                  1.671,              0.0004583,              0.0004583,              0.0004583
                     15,                0.96552,                 0.7256,                  1.101,                0.79602,                0.55672,                0.65961,                0.38557,                 1.6715,                 1.5825,                 1.6996,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0202,                0.75348,                 1.1338,                0.78464,                0.59788,                0.69726,                 0.4175,                 1.6155,                  1.445,                 1.6048,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0233,                0.77371,                 1.1413,                0.77983,                0.60939,                0.73348,                0.42931,                 1.6193,                 1.3804,                 1.5584,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0422,                0.79802,                 1.1515,                0.68505,                  0.638,                0.71304,                 0.4218,                 1.6209,                 1.3576,                 1.5969,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0545,                0.78205,                 1.1567,                0.75647,                 0.6139,                0.70408,                0.41266,                 1.6423,                  1.467,                 1.6089,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0476,                0.79641,                 1.1444,                0.80755,                0.57826,                0.69772,                0.39686,                 1.6427,                 1.4071,                 1.6004,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0197,                0.75156,                 1.1236,                0.84535,                0.61439,                 0.7431,                0.44366,                 1.5941,                 1.3226,                 1.5669,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0529,                0.80716,                 1.1453,                0.80255,                0.63249,                 0.7412,                0.41757,                 1.6328,                 1.2912,                 1.5959,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0115,                0.76256,                 1.1379,                0.76427,                0.65481,                0.72794,                0.40659,                 1.6987,                 1.4049,                 1.6998,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0174,                 0.7837,                 1.1306,                0.74172,                0.63033,                0.67975,                0.40581,                 1.6222,                 1.3947,                 1.6262,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0177,                0.77626,                  1.134,                0.65381,                0.66567,                0.66133,                0.40724,                   1.65,                 1.4095,                 1.6379,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0093,                0.75735,                 1.1359,                0.69444,                0.67554,                0.67898,                0.39264,                 1.6249,                 1.4172,                 1.6272,             0.00039581,             0.00039581,             0.00039581
