                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73996,                 0.6341,                 1.0249,                 0.6795,                0.69714,                0.70953,                0.43233,                 1.6087,                  1.332,                 1.5855,             0.00014728,             0.00014728,             0.00014728
                      2,                0.93087,                0.71099,                  1.093,                0.68461,                0.63843,                0.69475,                0.42079,                 1.6369,                 1.3112,                 1.5981,             0.00029685,             0.00029685,             0.00029685
                      3,                0.92806,                0.72784,                 1.0863,                0.62216,                0.66325,                 0.6763,                0.41227,                 1.6559,                 1.3597,                 1.6451,              0.0004434,              0.0004434,              0.0004434
                      4,                0.94828,                0.73172,                 1.1013,                0.77936,                0.61133,                0.71822,                0.44035,                 1.6035,                 1.3362,                 1.5815,             0.00051038,             0.00051038,             0.00051038
                      5,                0.94676,                0.74665,                 1.0994,                0.65697,                0.64991,                0.66537,                0.41395,                   1.55,                 1.3229,                 1.5724,             0.00050517,             0.00050517,             0.00050517
                      6,                0.97282,                0.73141,                 1.1093,                0.65863,                0.65756,                0.69004,                0.41468,                 1.6087,                 1.4018,                 1.6389,             0.00049996,             0.00049996,             0.00049996
                      7,                0.94151,                0.72722,                 1.0985,                0.70469,                0.59455,                0.66075,                0.37692,                 1.7121,                 1.5474,                 1.7006,             0.00049476,             0.00049476,             0.00049476
                      8,                0.96049,                 0.7515,                 1.1122,                0.65321,                0.59086,                0.64884,                0.37646,                 1.6938,                 1.5458,                 1.6401,             0.00048955,             0.00048955,             0.00048955
                      9,                0.97964,                0.73892,                 1.1023,                0.70012,                0.55877,                0.67844,                0.40214,                 1.6372,                 1.4565,                 1.5813,             0.00048434,             0.00048434,             0.00048434
                     10,                0.97681,                 0.7327,                 1.1256,                0.78699,                0.59257,                 0.6857,                0.41108,                 1.6395,                 1.3914,                 1.6097,             0.00047913,             0.00047913,             0.00047913
                     11,                0.96532,                0.74357,                 1.1056,                0.80409,                0.54332,                0.64197,                 0.3674,                 1.7294,                 1.6604,                 1.6777,             0.00047393,             0.00047393,             0.00047393
                     12,                0.95819,                0.71437,                 1.0981,                0.80766,                 0.5954,                0.67788,                0.40335,                 1.6355,                 1.4517,                 1.6109,             0.00046872,             0.00046872,             0.00046872
                     13,                0.97652,                 0.7481,                 1.1131,                0.77673,                0.62789,                0.70344,                0.40435,                 1.6802,                 1.3963,                 1.6468,             0.00046351,             0.00046351,             0.00046351
                     14,                0.92912,                0.71533,                 1.0919,                 0.7471,                0.64696,                0.72062,                0.41401,                 1.6199,                 1.3778,                 1.6056,              0.0004583,              0.0004583,              0.0004583
                     15,                0.94932,                0.71687,                 1.0913,                 0.7384,                0.65251,                0.69793,                0.42438,                 1.5574,                 1.4053,                 1.5563,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0138,                0.75185,                  1.126,                0.78891,                0.60964,                0.67745,                0.40317,                 1.6195,                 1.4186,                 1.6204,             0.00044789,             0.00044789,             0.00044789
                     17,                  1.028,                0.77084,                 1.1458,                0.79669,                0.59486,                0.69723,                0.41528,                 1.5807,                 1.5331,                 1.5441,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0402,                0.79591,                 1.1479,                0.74713,                0.62595,                0.70053,                0.41569,                 1.5796,                 1.4697,                 1.5778,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0341,                0.78524,                 1.1479,                0.70558,                0.58178,                0.66289,                0.39794,                 1.6245,                 1.5495,                 1.5917,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0341,                0.79046,                 1.1325,                0.74703,                0.62103,                0.68173,                0.38811,                  1.634,                 1.4889,                 1.5905,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0158,                 0.7607,                 1.1195,                0.71313,                0.63436,                0.69435,                0.40054,                 1.5801,                 1.4286,                 1.5555,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0595,                0.81827,                 1.1453,                0.75841,                 0.6077,                0.72248,                0.39946,                 1.6486,                 1.4349,                 1.6042,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0052,                0.76908,                 1.1323,                0.78407,                0.60626,                0.71028,                0.40649,                 1.6515,                 1.3282,                 1.6508,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0307,                0.78734,                 1.1381,                0.69248,                0.62079,                0.69336,                0.42021,                 1.5859,                 1.4576,                 1.5863,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0105,                0.77787,                 1.1301,                0.69328,                0.67465,                0.70053,                0.40934,                 1.5971,                 1.4185,                 1.5722,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0116,                0.77167,                 1.1314,                0.70149,                0.62606,                0.69718,                0.39791,                 1.6053,                 1.4655,                 1.5858,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.0454,                0.77875,                 1.1532,                0.68851,                0.60209,                0.68992,                0.40567,                 1.5931,                 1.4884,                 1.6001,             0.00039061,             0.00039061,             0.00039061
                     28,                0.98562,                0.75513,                 1.1202,                0.66633,                0.63028,                 0.6804,                0.40717,                 1.5728,                 1.4776,                 1.5536,              0.0003854,              0.0003854,              0.0003854
                     29,                0.99427,                 0.7382,                 1.1082,                0.68705,                0.64952,                0.67318,                0.39832,                 1.6081,                 1.4364,                 1.5797,             0.00038019,             0.00038019,             0.00038019
