                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0055,                0.83809,                 1.1277,                0.81494,                0.58967,                0.70606,                0.42207,                 1.5782,                 1.4981,                 1.5418,             0.00014202,             0.00014202,             0.00014202
                      2,                0.92955,                0.74104,                 1.0872,                0.69147,                0.63962,                0.68776,                0.40192,                 1.6247,                 1.4945,                 1.5534,             0.00028644,             0.00028644,             0.00028644
                      3,                  0.926,                0.74363,                 1.0911,                0.70845,                0.60351,                0.66231,                0.39246,                 1.6106,                 1.4685,                 1.5966,             0.00042794,             0.00042794,             0.00042794
                      4,                0.93911,                0.73008,                 1.0877,                0.71787,                0.60153,                0.66961,                0.39451,                 1.6867,                 1.5575,                 1.6762,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.0036,                0.77427,                 1.1184,                 0.5654,                0.62333,                0.61837,                0.34756,                 1.6994,                 1.5685,                 1.6511,             0.00050517,             0.00050517,             0.00050517
                      6,                0.95255,                0.74395,                 1.1014,                0.70837,                0.57101,                0.65444,                0.36088,                 1.7172,                 1.5095,                 1.6414,             0.00049996,             0.00049996,             0.00049996
                      7,                0.94597,                0.76411,                 1.0963,                0.66985,                0.57145,                0.65774,                0.38189,                 1.5969,                 1.5089,                 1.5397,             0.00049476,             0.00049476,             0.00049476
                      8,                0.97887,                0.74689,                 1.1132,                  0.558,                0.63566,                0.65205,                0.37823,                 1.5754,                  1.644,                 1.5307,             0.00048955,             0.00048955,             0.00048955
                      9,                0.99689,                0.77357,                 1.1197,                0.69815,                0.62534,                0.65272,                0.39948,                 1.5808,                 1.5721,                 1.5842,             0.00048434,             0.00048434,             0.00048434
                     10,                0.98905,                0.77645,                 1.1098,                 0.7325,                0.54651,                0.64048,                0.36484,                 1.6197,                 1.6464,                 1.5678,             0.00047913,             0.00047913,             0.00047913
                     11,                0.98019,                0.77436,                 1.1008,                0.63858,                0.61064,                0.65382,                0.37814,                 1.5537,                 1.5933,                 1.5348,             0.00047393,             0.00047393,             0.00047393
                     12,                0.96304,                 0.7385,                 1.1036,                0.64963,                0.58958,                0.62558,                  0.374,                 1.6243,                 1.7443,                 1.5959,             0.00046872,             0.00046872,             0.00046872
                     13,                0.96734,                0.73615,                 1.0997,                0.58142,                0.66611,                0.66917,                  0.384,                 1.6402,                 1.5698,                 1.5915,             0.00046351,             0.00046351,             0.00046351
                     14,                0.98008,                0.77246,                 1.1145,                0.69706,                 0.5386,                0.64048,                0.36692,                 1.6513,                 1.6753,                 1.6228,              0.0004583,              0.0004583,              0.0004583
                     15,                0.98788,                0.74815,                 1.1107,                0.62984,                0.57479,                 0.6299,                0.35786,                 1.6057,                 1.6234,                 1.5736,              0.0004531,              0.0004531,              0.0004531
                     16,                0.96042,                0.74223,                 1.1021,                0.69592,                 0.5962,                0.65378,                0.38927,                 1.6009,                 1.5106,                 1.6142,             0.00044789,             0.00044789,             0.00044789
                     17,                0.95005,                0.72396,                 1.0973,                0.67831,                0.58305,                0.61756,                0.36659,                 1.6744,                 1.6314,                 1.6961,             0.00044268,             0.00044268,             0.00044268
                     18,                0.98899,                0.74454,                 1.1087,                0.64951,                0.63214,                0.66394,                0.38554,                  1.604,                 1.6348,                 1.6171,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0057,                0.76844,                 1.1403,                0.70414,                0.64239,                 0.6878,                0.39108,                 1.6015,                 1.4651,                 1.5973,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0653,                0.82102,                 1.1585,                0.70339,                0.60435,                 0.6788,                0.40084,                 1.5553,                 1.5445,                 1.5246,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0338,                 0.7833,                 1.1319,                0.74914,                0.51642,                0.64048,                0.37147,                 1.5755,                 1.5944,                 1.5329,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0174,                 0.7734,                 1.1316,                0.71085,                  0.507,                0.62602,                0.38466,                 1.5335,                 1.7459,                 1.5234,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0096,                0.75773,                 1.1157,                0.59255,                0.66789,                0.66571,                0.40054,                 1.5788,                 1.5827,                  1.572,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0133,                0.79009,                 1.1235,                0.70207,                0.62325,                0.66401,                0.38136,                 1.5931,                  1.632,                 1.5772,             0.00040623,             0.00040623,             0.00040623
                     25,                  1.009,                0.75872,                 1.1236,                0.75809,                0.58432,                0.67762,                0.39114,                 1.6185,                 1.5967,                  1.582,             0.00040102,             0.00040102,             0.00040102
                     26,                0.99237,                0.74977,                 1.1134,                 0.7685,                0.57494,                0.67977,                0.39516,                 1.5978,                  1.539,                 1.5497,             0.00039581,             0.00039581,             0.00039581
