                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0123,                0.84418,                 1.1226,                0.79683,                0.60525,                0.69347,                0.40991,                 1.5692,                 1.2852,                 1.5358,             0.00014202,             0.00014202,             0.00014202
                      2,                  1.033,                0.84226,                 1.1321,                0.80593,                0.55874,                  0.638,                0.36687,                 1.6124,                 1.3882,                 1.5519,             0.00028644,             0.00028644,             0.00028644
                      3,                 1.0676,                0.87137,                 1.1539,                0.76486,                0.58734,                 0.6563,                0.36722,                 1.5771,                 1.3455,                 1.5638,             0.00042794,             0.00042794,             0.00042794
                      4,                 1.0677,                0.87375,                 1.1471,                 0.7602,                0.58933,                0.70965,                0.38777,                 1.6439,                  1.311,                 1.6089,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.1186,                0.90625,                 1.1795,                0.83908,                0.55401,                0.68049,                0.35861,                 1.5978,                 1.3564,                 1.5555,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.0743,                0.89859,                 1.1654,                0.68438,                0.67324,                0.68341,                0.37637,                 1.6828,                 1.5402,                 1.6463,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.0697,                0.89173,                 1.1559,                0.79114,                0.56201,                0.66082,                0.38855,                 1.6033,                 1.4959,                  1.593,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.1133,                0.88543,                 1.1859,                0.72181,                0.56576,                0.66155,                0.37889,                 1.5701,                 1.5178,                 1.5475,             0.00048955,             0.00048955,             0.00048955
                      9,                  1.122,                0.91379,                 1.1865,                0.76415,                0.63241,                0.69386,                0.39322,                 1.5314,                  1.352,                 1.5387,             0.00048434,             0.00048434,             0.00048434
                     10,                  1.123,                0.89984,                 1.1737,                0.69863,                0.64019,                0.70101,                0.40441,                 1.5192,                 1.3166,                 1.5055,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.1013,                0.91969,                  1.168,                0.63689,                0.63914,                0.69103,                0.39523,                 1.5346,                 1.3659,                 1.4829,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.0865,                0.87391,                 1.1659,                0.75287,                0.58534,                0.68716,                0.40291,                 1.5317,                 1.2891,                 1.5036,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.0742,                0.85973,                 1.1516,                0.79941,                0.60802,                0.67328,                 0.4185,                 1.4671,                 1.2587,                 1.4516,             0.00046351,             0.00046351,             0.00046351
                     14,                  1.073,                0.88935,                 1.1673,                0.69852,                0.61601,                0.66816,                0.38761,                 1.4495,                 1.4171,                 1.4416,              0.0004583,              0.0004583,              0.0004583
                     15,                  1.091,                0.86584,                 1.1599,                0.79974,                0.54706,                0.67923,                0.37743,                 1.5243,                 1.3729,                 1.4849,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0674,                0.85436,                 1.1563,                0.66092,                0.67917,                 0.7031,                0.42043,                 1.5239,                 1.2857,                  1.492,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0621,                0.82444,                 1.1494,                0.69836,                0.55278,                0.67007,                0.39903,                 1.5935,                  1.305,                 1.5433,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0738,                0.82923,                 1.1522,                0.74804,                0.63694,                0.71096,                0.41869,                 1.6126,                 1.3299,                 1.5912,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0622,                0.83621,                 1.1617,                0.73507,                0.66456,                 0.7222,                0.42362,                 1.5823,                 1.2937,                 1.5757,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0768,                0.85295,                 1.1607,                0.80068,                  0.621,                0.70901,                0.40929,                 1.5767,                 1.2838,                  1.547,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0424,                0.81268,                 1.1339,                0.64315,                0.65044,                0.70348,                0.39601,                 1.5859,                 1.3594,                  1.576,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0398,                0.80039,                 1.1438,                0.69028,                0.65345,                0.69999,                0.40642,                 1.5831,                 1.3736,                  1.537,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0249,                0.79146,                 1.1202,                0.74979,                0.57463,                 0.6936,                 0.4097,                 1.5489,                 1.3803,                 1.5766,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0395,                 0.8342,                 1.1401,                0.69289,                 0.6651,                0.70461,                0.39163,                 1.6342,                 1.3189,                 1.6173,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0271,                0.79766,                 1.1384,                0.81689,                0.63281,                0.71692,                0.39513,                 1.6414,                 1.3304,                 1.5977,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0195,                0.78682,                 1.1264,                0.81164,                0.56602,                0.68738,                0.39921,                  1.575,                 1.3503,                 1.5586,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.0012,                0.79339,                  1.129,                0.76333,                0.59652,                0.71165,                0.40327,                 1.5512,                 1.2567,                 1.5061,             0.00039061,             0.00039061,             0.00039061
                     28,                 1.0068,                0.78833,                 1.1269,                0.53617,                0.61432,                0.62902,                0.36037,                 1.6154,                 1.3813,                  1.586,              0.0003854,              0.0003854,              0.0003854
                     29,                 1.0287,                0.79462,                 1.1327,                0.67552,                0.64431,                0.67382,                0.38335,                 1.5549,                 1.4671,                 1.5431,             0.00038019,             0.00038019,             0.00038019
                     30,                 1.0038,                0.77476,                 1.1185,                0.69741,                0.59317,                0.65811,                 0.3811,                 1.5979,                 1.4615,                 1.6235,             0.00037499,             0.00037499,             0.00037499
                     31,                 1.0087,                0.77598,                 1.1325,                0.68686,                0.58379,                0.64875,                0.35992,                 1.6709,                 1.4583,                 1.6422,             0.00036978,             0.00036978,             0.00036978
                     32,                 1.0141,                0.76595,                 1.1423,                0.72852,                0.57453,                0.64973,                0.35582,                 1.6229,                 1.4075,                 1.5926,             0.00036457,             0.00036457,             0.00036457
                     33,                 0.9871,                0.78114,                 1.1112,                0.67888,                0.65582,                0.69007,                0.39543,                   1.61,                 1.3239,                 1.6035,             0.00035936,             0.00035936,             0.00035936
                     34,                0.98504,                0.75128,                 1.1093,                0.78069,                0.55195,                 0.6504,                  0.366,                 1.6276,                 1.4504,                 1.6027,             0.00035416,             0.00035416,             0.00035416
                     35,                0.98182,                0.75622,                 1.1109,                0.75983,                0.60904,                0.66234,                0.38282,                 1.5682,                 1.2683,                 1.5676,             0.00034895,             0.00034895,             0.00034895
                     36,                0.98499,                0.75092,                 1.1155,                0.81912,                0.60676,                 0.6984,                0.39871,                 1.5532,                 1.3027,                 1.5509,             0.00034374,             0.00034374,             0.00034374
                     37,                0.97496,                 0.7603,                 1.1152,                0.73924,                0.61125,                0.67894,                0.39156,                 1.5842,                 1.3133,                  1.586,             0.00033853,             0.00033853,             0.00033853
                     38,                 0.9731,                0.71522,                 1.1104,                0.66705,                0.67359,                0.70653,                0.40616,                 1.6277,                 1.3257,                 1.6479,             0.00033333,             0.00033333,             0.00033333
                     39,                0.97513,                0.76768,                 1.1194,                0.79494,                0.59799,                 0.6762,                0.39841,                 1.6029,                 1.3722,                  1.619,             0.00032812,             0.00032812,             0.00032812
                     40,                 1.0109,                0.73379,                 1.1245,                 0.7307,                0.63774,                0.67964,                0.38731,                 1.6575,                 1.4102,                 1.6895,             0.00032291,             0.00032291,             0.00032291
