                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0701,                0.91358,                 1.1693,                0.77322,                0.62585,                0.70426,                0.42657,                 1.5845,                 1.4106,                 1.5374,             0.00014728,             0.00014728,             0.00014728
                      2,                 1.0836,                0.87194,                 1.1799,                0.74103,                0.61113,                 0.7037,                0.41945,                  1.626,                 1.4438,                 1.5656,             0.00029685,             0.00029685,             0.00029685
                      3,                 1.0953,                0.88981,                 1.1697,                0.66395,                0.65653,                0.66159,                0.39271,                 1.6071,                 1.5513,                 1.5662,              0.0004434,              0.0004434,              0.0004434
                      4,                 1.0852,                0.88227,                 1.1765,                0.75465,                0.57464,                0.67953,                0.40602,                 1.5453,                  1.454,                  1.499,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.0933,                0.87621,                 1.1759,                0.67544,                0.60528,                0.64476,                 0.3868,                 1.5803,                 1.4239,                 1.5839,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.1358,                0.89391,                 1.1977,                 0.6007,                0.59089,                0.63744,                0.38758,                 1.5961,                 1.4704,                 1.6209,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.0834,                0.87777,                 1.1794,                0.71575,                 0.6292,                0.69255,                0.40409,                 1.5921,                  1.498,                 1.5891,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.1228,                0.93013,                  1.194,                0.60155,                0.61975,                0.63994,                0.38399,                  1.666,                 1.4745,                 1.6437,             0.00048955,             0.00048955,             0.00048955
                      9,                 1.1053,                0.88256,                 1.1738,                0.71564,                0.56571,                0.64477,                0.41384,                  1.545,                 1.4978,                 1.5052,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.1238,                0.86297,                 1.1932,                0.71979,                 0.6209,                0.67541,                0.40182,                 1.6527,                 1.4499,                 1.5838,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.0985,                 0.8778,                 1.1792,                0.71577,                0.58497,                0.67609,                0.38635,                 1.6706,                 1.5235,                 1.6001,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.0814,                0.83681,                 1.1653,                0.66536,                0.61491,                0.66977,                0.40255,                 1.6043,                 1.4405,                 1.5923,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.0944,                0.86901,                 1.1789,                0.79294,                0.59933,                0.67732,                0.39696,                 1.6492,                  1.457,                  1.611,             0.00046351,             0.00046351,             0.00046351
                     14,                 1.0667,                0.84261,                 1.1617,                0.74198,                 0.5897,                0.69377,                0.40756,                  1.594,                  1.417,                 1.5798,              0.0004583,              0.0004583,              0.0004583
                     15,                 1.0654,                 0.8175,                 1.1464,                0.70131,                0.59929,                0.66523,                0.38467,                 1.6241,                 1.4248,                 1.5898,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.1072,                0.85268,                 1.1748,                0.76199,                 0.5809,                0.66715,                0.39728,                 1.6093,                   1.42,                 1.5981,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0828,                0.84027,                 1.1765,                0.74242,                0.63738,                0.72047,                0.44952,                  1.533,                 1.2852,                 1.5295,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0539,                0.83819,                 1.1661,                 0.6369,                 0.6887,                 0.7057,                0.43201,                 1.6082,                  1.345,                 1.5879,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0655,                0.84057,                 1.1654,                0.69204,                0.60252,                0.68913,                 0.4264,                 1.5941,                 1.3662,                 1.5694,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0615,                0.83344,                 1.1512,                0.66327,                0.61288,                0.66558,                0.38608,                 1.6367,                 1.4924,                 1.5808,             0.00042706,             0.00042706,             0.00042706
