                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6528,                0.57528,                 0.9828,                0.76848,                0.64129,                0.73149,                0.44338,                 1.6004,                 1.3375,                 1.6081,             0.00014728,             0.00014728,             0.00014728
                      2,                0.74372,                0.58288,                 1.0063,                0.69052,                0.68392,                0.71637,                0.42584,                 1.6187,                 1.3503,                 1.6203,             0.00029685,             0.00029685,             0.00029685
                      3,                0.76789,                0.61415,                  1.014,                0.72639,                0.61509,                0.69689,                0.41487,                 1.6433,                 1.3425,                 1.6596,              0.0004434,              0.0004434,              0.0004434
                      4,                0.87094,                0.66776,                  1.063,                0.71644,                0.62773,                 0.6774,                0.40907,                 1.6219,                 1.4283,                 1.6621,             0.00051038,             0.00051038,             0.00051038
                      5,                0.95786,                0.73637,                 1.1055,                0.68929,                0.59992,                0.67609,                0.39039,                 1.6608,                 1.4058,                    1.7,             0.00050517,             0.00050517,             0.00050517
                      6,                0.97117,                0.73963,                 1.1111,                0.64338,                0.55965,                0.65554,                0.36981,                 1.6592,                 1.4673,                 1.6467,             0.00049996,             0.00049996,             0.00049996
                      7,                0.95089,                0.72809,                 1.1033,                0.63281,                0.64674,                0.67273,                0.39665,                 1.6529,                  1.538,                 1.6305,             0.00049476,             0.00049476,             0.00049476
                      8,                0.98469,                0.75937,                 1.1227,                0.69145,                0.54161,                0.61628,                0.36438,                 1.6646,                 1.5484,                 1.6336,             0.00048955,             0.00048955,             0.00048955
                      9,                0.96962,                0.75161,                 1.1024,                0.65445,                0.61676,                0.66909,                0.38301,                 1.6521,                 1.4747,                 1.6683,             0.00048434,             0.00048434,             0.00048434
                     10,                0.98293,                0.73689,                 1.1297,                 0.6862,                0.65288,                0.69056,                0.40831,                  1.696,                 1.5647,                 1.7117,             0.00047913,             0.00047913,             0.00047913
                     11,                0.97262,                0.74189,                 1.1106,                0.72348,                0.59099,                0.67592,                0.39217,                 1.7011,                 1.6325,                  1.671,             0.00047393,             0.00047393,             0.00047393
                     12,                0.97415,                0.72184,                 1.1077,                0.74019,                0.60666,                0.67509,                0.39769,                 1.6493,                 1.4517,                 1.6206,             0.00046872,             0.00046872,             0.00046872
                     13,                0.97642,                0.73895,                   1.12,                0.74481,                0.59648,                0.67906,                0.39633,                  1.686,                 1.4533,                 1.6309,             0.00046351,             0.00046351,             0.00046351
                     14,                0.94148,                0.71389,                 1.0953,                0.68942,                 0.6438,                0.67421,                0.39973,                  1.612,                 1.5089,                 1.5737,              0.0004583,              0.0004583,              0.0004583
                     15,                0.95142,                0.71563,                 1.0909,                0.68358,                 0.6163,                0.64535,                  0.394,                 1.6342,                 1.5681,                 1.6809,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0074,                0.74805,                 1.1264,                0.69034,                0.66385,                 0.6815,                0.40162,                 1.6267,                 1.4571,                 1.6234,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0209,                0.77402,                 1.1437,                0.74562,                0.63822,                0.70426,                0.39894,                  1.643,                 1.4459,                 1.5728,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0463,                0.79977,                 1.1516,                0.65054,                0.63685,                0.68128,                0.37785,                 1.6473,                 1.4541,                 1.5852,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0546,                0.80067,                 1.1575,                0.74279,                0.59967,                0.65575,                0.37942,                 1.6727,                 1.5281,                 1.6025,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0466,                0.80404,                   1.14,                0.63021,                0.66113,                0.67499,                 0.3741,                 1.6779,                  1.491,                 1.6227,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0238,                0.76062,                 1.1232,                0.75732,                0.59148,                0.71208,                0.40304,                  1.632,                 1.4078,                 1.6101,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0419,                0.80041,                 1.1358,                0.76571,                0.58756,                0.68027,                0.39893,                 1.6358,                 1.3939,                 1.6138,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0144,                 0.7572,                 1.1345,                0.72125,                0.55777,                 0.6421,                0.37803,                 1.6402,                 1.5028,                 1.6371,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0122,                0.77801,                  1.124,                0.76454,                0.58272,                0.69596,                0.39151,                 1.6439,                 1.4422,                 1.6336,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0024,                0.76611,                 1.1223,                0.65146,                0.60286,                0.65555,                0.37907,                 1.6609,                 1.4239,                  1.672,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0073,                0.75125,                 1.1265,                0.69283,                0.60824,                0.67051,                0.38048,                 1.6667,                 1.3801,                 1.6667,             0.00039581,             0.00039581,             0.00039581
