                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8138,                 4.5152,                 1.7022,                0.03571,                0.00549,                0.02191,                0.01534,                 1.4434,                 4.1983,                 1.2938,             0.00014202,             0.00014202,             0.00014202
                      2,                 1.6432,                 4.0985,                 1.4623,                 0.0237,                 0.3501,                0.07881,                0.04475,                 1.6043,                 3.9378,                 1.4422,             0.00028644,             0.00028644,             0.00028644
                      3,                 1.6105,                 3.6137,                 1.4232,                0.37918,                 0.0804,                0.09632,                0.05641,                 1.6138,                 3.6683,                 1.4928,             0.00042794,             0.00042794,             0.00042794
                      4,                 1.6477,                 3.2099,                 1.4277,                0.20374,                0.18753,                0.15326,                0.08346,                 1.7476,                 3.2788,                 1.6266,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.6593,                 2.7778,                 1.4656,                0.66489,                0.15638,                 0.2388,                 0.1252,                 1.6318,                  2.577,                 1.4815,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.6063,                  2.416,                 1.4611,                0.62171,                0.23426,                0.26447,                0.13628,                 1.5918,                 3.5039,                 1.4754,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.5419,                 2.2613,                 1.4216,                0.34832,                0.47578,                0.35778,                0.19499,                 1.5836,                 2.4235,                 1.5366,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.5902,                 2.0363,                 1.4717,                  0.497,                0.37233,                0.42181,                0.20883,                 1.7059,                 2.2602,                  1.622,             0.00048955,             0.00048955,             0.00048955
                      9,                  1.578,                 1.9715,                  1.462,                0.44552,                0.39041,                0.43061,                0.22094,                 1.5877,                 1.8833,                 1.5203,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.5451,                 1.8446,                 1.4449,                0.53508,                0.43358,                0.45356,                0.25425,                  1.511,                 1.8537,                 1.4633,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.5207,                 1.7951,                 1.4341,                0.38588,                0.44999,                0.37907,                0.20151,                 1.5599,                 1.8797,                 1.4784,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.4671,                 1.6262,                 1.4019,                 0.4655,                0.41594,                0.42959,                0.23995,                 1.5544,                 1.8778,                  1.455,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.4448,                  1.591,                 1.3899,                 0.5917,                0.52301,                0.51939,                0.28393,                 1.5788,                 1.8995,                 1.5079,             0.00046351,             0.00046351,             0.00046351
                     14,                 1.4396,                 1.5991,                 1.3848,                0.48188,                 0.4772,                0.52624,                0.27023,                 1.5278,                 1.9392,                 1.4878,              0.0004583,              0.0004583,              0.0004583
                     15,                 1.4554,                 1.5271,                 1.3927,                0.48756,                0.47978,                 0.5015,                0.29588,                 1.5104,                 1.7209,                 1.4803,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.4224,                 1.4593,                 1.3773,                0.67887,                0.46747,                0.55975,                0.31759,                 1.4548,                 1.6998,                 1.4441,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.3843,                 1.4258,                 1.3492,                0.60192,                0.50558,                0.57519,                 0.3208,                 1.5004,                 1.6961,                 1.4818,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.3749,                 1.4002,                 1.3338,                0.54825,                0.62098,                0.59975,                0.35158,                  1.497,                 1.6768,                 1.4906,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.3832,                 1.3694,                 1.3647,                0.63284,                0.52672,                0.58432,                0.32378,                 1.4846,                 1.5307,                 1.4616,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.4011,                 1.3973,                 1.3638,                0.55707,                0.55783,                0.59442,                0.32533,                 1.5891,                 1.6683,                 1.5045,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.3632,                 1.3261,                 1.3192,                0.64526,                0.52058,                 0.6049,                0.35095,                 1.4405,                 1.6099,                 1.4233,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.3592,                 1.3021,                 1.3391,                0.63602,                0.57211,                0.59111,                0.34128,                 1.5274,                 1.7252,                 1.4706,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.3332,                 1.2632,                 1.3064,                0.64106,                0.55181,                0.59939,                0.32092,                 1.5162,                 1.6271,                  1.455,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.3225,                 1.2715,                 1.3075,                0.69942,                0.57578,                 0.6337,                0.35837,                 1.4698,                 1.5903,                 1.4228,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.3117,                 1.2436,                 1.2973,                0.66329,                0.59309,                0.61801,                0.35339,                 1.5049,                 1.6072,                 1.5132,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.3182,                  1.239,                 1.2957,                0.61868,                0.52705,                0.61155,                 0.3424,                 1.4619,                 1.5114,                 1.4667,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.2981,                 1.2359,                 1.2995,                0.62027,                0.56205,                0.64137,                0.36055,                 1.4853,                 1.5596,                 1.4844,             0.00039061,             0.00039061,             0.00039061
                     28,                 1.2831,                 1.1857,                  1.293,                0.64205,                0.57531,                0.65172,                 0.3593,                 1.4418,                  1.573,                 1.4439,              0.0003854,              0.0003854,              0.0003854
                     29,                 1.2969,                 1.1597,                 1.2874,                0.69416,                0.64639,                0.66981,                0.39458,                 1.4471,                  1.527,                 1.4303,             0.00038019,             0.00038019,             0.00038019
                     30,                 1.2769,                 1.1535,                 1.2692,                 0.7043,                0.67456,                0.65413,                0.37182,                 1.5321,                 1.6573,                 1.5007,             0.00037499,             0.00037499,             0.00037499
                     31,                 1.2794,                 1.1553,                 1.2848,                0.73997,                0.61124,                0.68306,                0.37462,                 1.5319,                 1.3728,                 1.4486,             0.00036978,             0.00036978,             0.00036978
                     32,                 1.2773,                  1.132,                 1.2991,                0.66969,                0.60714,                0.67888,                 0.3669,                 1.4419,                 1.5037,                 1.4006,             0.00036457,             0.00036457,             0.00036457
                     33,                 1.2485,                 1.1229,                  1.261,                0.62016,                0.63942,                0.65359,                0.36871,                 1.4231,                  1.538,                 1.4164,             0.00035936,             0.00035936,             0.00035936
                     34,                 1.2544,                 1.1036,                 1.2626,                0.77601,                0.60332,                0.68744,                0.39388,                 1.4664,                 1.4608,                 1.4391,             0.00035416,             0.00035416,             0.00035416
                     35,                  1.244,                 1.1099,                 1.2536,                0.80631,                0.60397,                0.69544,                 0.4011,                 1.4697,                 1.3464,                 1.4312,             0.00034895,             0.00034895,             0.00034895
                     36,                 1.2362,                 1.0773,                   1.26,                0.74132,                0.58965,                0.68647,                0.40904,                 1.4274,                 1.4127,                 1.4118,             0.00034374,             0.00034374,             0.00034374
                     37,                 1.2373,                 1.1019,                 1.2573,                0.64761,                0.61553,                 0.6929,                0.42211,                  1.445,                 1.2979,                 1.4162,             0.00033853,             0.00033853,             0.00033853
                     38,                 1.2182,                  1.035,                 1.2425,                0.70107,                0.66208,                 0.7045,                0.39913,                 1.5057,                 1.3135,                 1.4724,             0.00033333,             0.00033333,             0.00033333
                     39,                 1.2242,                  1.103,                 1.2617,                0.81613,                0.54605,                 0.6687,                0.39555,                 1.4781,                 1.3914,                 1.4751,             0.00032812,             0.00032812,             0.00032812
                     40,                 1.2412,                 1.0522,                 1.2476,                0.76114,                0.60419,                0.66795,                 0.4004,                 1.4872,                 1.4076,                  1.462,             0.00032291,             0.00032291,             0.00032291
                     41,                 1.1914,                 1.0414,                 1.2317,                0.73944,                0.62046,                0.66864,                0.38441,                 1.4765,                 1.4812,                 1.4613,              0.0003177,              0.0003177,              0.0003177
                     42,                 1.2054,                 1.0032,                 1.2343,                0.72922,                0.59408,                0.66231,                0.38201,                 1.4655,                 1.4281,                 1.4362,              0.0003125,              0.0003125,              0.0003125
                     43,                 1.1799,                 1.0207,                 1.2201,                0.76602,                0.63149,                0.70701,                0.40179,                 1.4452,                 1.4397,                 1.4187,             0.00030729,             0.00030729,             0.00030729
                     44,                 1.1969,                 1.0057,                  1.222,                0.78009,                0.55835,                0.65054,                0.39396,                 1.4911,                 1.4278,                 1.4621,             0.00030208,             0.00030208,             0.00030208
                     45,                   1.18,                  1.003,                 1.2153,                0.69491,                0.66142,                0.67222,                0.39583,                 1.4999,                 1.4552,                 1.5056,             0.00029687,             0.00029687,             0.00029687
                     46,                 1.1813,                 0.9888,                 1.2146,                0.73315,                 0.6539,                0.67198,                0.40722,                 1.4594,                  1.397,                 1.4455,             0.00029167,             0.00029167,             0.00029167
                     47,                 1.1383,                0.98189,                 1.1915,                0.80466,                 0.6253,                 0.6844,                 0.4234,                 1.4867,                 1.3189,                 1.4517,             0.00028646,             0.00028646,             0.00028646
                     48,                 1.1535,                0.98143,                 1.2029,                0.75711,                 0.6253,                0.67191,                0.40653,                 1.5155,                 1.3327,                 1.4811,             0.00028125,             0.00028125,             0.00028125
                     49,                 1.1701,                0.98662,                 1.2092,                0.68376,                0.63044,                0.67859,                0.40002,                 1.5127,                 1.4931,                 1.4873,             0.00027604,             0.00027604,             0.00027604
                     50,                 1.1341,                0.95674,                 1.1935,                0.75741,                0.64327,                0.68321,                 0.4237,                 1.4868,                 1.3387,                 1.4888,             0.00027084,             0.00027084,             0.00027084
                     51,                 1.1447,                0.92448,                 1.1786,                0.69863,                0.63984,                0.67304,                0.39216,                 1.5116,                 1.3501,                 1.4926,             0.00026563,             0.00026563,             0.00026563
                     52,                 1.1602,                0.98414,                 1.2123,                0.69402,                0.65916,                0.68528,                0.39833,                 1.5051,                 1.3034,                 1.4742,             0.00026042,             0.00026042,             0.00026042
                     53,                 1.1174,                0.93539,                 1.1789,                0.75468,                0.70089,                0.69585,                0.40717,                 1.4701,                 1.3934,                  1.483,             0.00025522,             0.00025522,             0.00025522
                     54,                  1.138,                 0.9394,                 1.1971,                0.75996,                0.66113,                0.72157,                0.40452,                 1.4902,                  1.362,                 1.4668,             0.00025001,             0.00025001,             0.00025001
                     55,                  1.133,                0.92289,                 1.1753,                0.84667,                0.66216,                0.74661,                0.42776,                 1.5069,                 1.2562,                 1.4715,              0.0002448,              0.0002448,              0.0002448
                     56,                 1.1172,                0.92338,                 1.1879,                0.79753,                0.65628,                0.71622,                0.41545,                 1.4539,                 1.2596,                 1.4328,             0.00023959,             0.00023959,             0.00023959
                     57,                 1.1023,                0.91606,                  1.176,                0.79129,                0.62992,                0.70481,                 0.4175,                 1.5265,                 1.3687,                  1.476,             0.00023439,             0.00023439,             0.00023439
                     58,                 1.1224,                0.91574,                 1.1787,                0.62208,                0.68849,                0.70926,                0.41979,                 1.4663,                 1.3169,                 1.4531,             0.00022918,             0.00022918,             0.00022918
                     59,                  1.116,                0.89628,                 1.1811,                0.75878,                0.65645,                0.70452,                0.41181,                 1.5113,                 1.3309,                 1.4855,             0.00022397,             0.00022397,             0.00022397
                     60,                 1.1174,                0.90812,                 1.1932,                0.71608,                0.64648,                0.72623,                0.43832,                 1.4488,                 1.3436,                 1.4305,             0.00021876,             0.00021876,             0.00021876
