                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81002,                0.66742,                  1.037,                0.77186,                0.69766,                0.74674,                0.44528,                 1.5658,                 1.2602,                 1.5763,             0.00014728,             0.00014728,             0.00014728
                      2,                0.75022,                0.59335,                 1.0119,                0.68269,                0.66709,                0.71036,                0.43153,                 1.6159,                 1.3628,                 1.6299,             0.00029685,             0.00029685,             0.00029685
                      3,                0.77494,                0.61523,                 1.0174,                0.78799,                 0.6047,                0.70141,                0.41843,                 1.6005,                 1.3483,                 1.6096,              0.0004434,              0.0004434,              0.0004434
                      4,                0.87505,                0.66691,                 1.0642,                0.69581,                0.60177,                0.64716,                0.40148,                 1.5973,                 1.5247,                 1.6095,             0.00051038,             0.00051038,             0.00051038
                      5,                0.95989,                0.74045,                 1.1046,                0.74879,                0.56287,                0.66378,                0.41064,                 1.6013,                 1.4306,                 1.6037,             0.00050517,             0.00050517,             0.00050517
                      6,                0.97525,                0.73996,                 1.1153,                0.67172,                0.66685,                0.71061,                0.40902,                 1.6276,                 1.3855,                  1.646,             0.00049996,             0.00049996,             0.00049996
                      7,                0.95317,                0.72549,                 1.1044,                  0.629,                0.62249,                0.66326,                0.37045,                 1.6692,                 1.5535,                 1.6498,             0.00049476,             0.00049476,             0.00049476
                      8,                0.97816,                0.76326,                 1.1171,                0.57865,                0.60052,                0.64469,                0.35633,                  1.726,                 1.5186,                 1.7108,             0.00048955,             0.00048955,             0.00048955
                      9,                0.96054,                0.73827,                 1.0978,                0.80596,                0.55453,                0.67257,                0.37882,                 1.6621,                 1.4589,                 1.6648,             0.00048434,             0.00048434,             0.00048434
                     10,                0.98773,                0.74288,                 1.1353,                0.79977,                0.55638,                0.64854,                0.37921,                 1.6936,                 1.4245,                  1.663,             0.00047913,             0.00047913,             0.00047913
                     11,                0.97216,                0.74951,                 1.1125,                0.76505,                0.61102,                0.68689,                  0.395,                 1.7265,                 1.5249,                  1.681,             0.00047393,             0.00047393,             0.00047393
                     12,                0.96212,                0.72822,                 1.1057,                0.64691,                0.68162,                0.69939,                0.40249,                 1.6622,                 1.3696,                 1.6846,             0.00046872,             0.00046872,             0.00046872
                     13,                0.96992,                0.74105,                  1.116,                 0.7427,                0.65759,                0.71666,                0.39497,                 1.7155,                 1.4394,                 1.6533,             0.00046351,             0.00046351,             0.00046351
                     14,                0.93638,                0.72235,                 1.0924,                0.69774,                0.60188,                0.65452,                0.37759,                 1.7286,                 1.5106,                   1.71,              0.0004583,              0.0004583,              0.0004583
                     15,                0.95883,                0.71995,                 1.0949,                0.71897,                0.57098,                0.65522,                0.36957,                 1.6755,                 1.5428,                 1.6829,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0162,                0.75871,                 1.1274,                 0.7511,                0.61048,                0.67706,                0.38379,                 1.6752,                 1.4245,                 1.6404,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0134,                0.76891,                 1.1412,                0.69381,                 0.6681,                0.71334,                 0.3935,                 1.6669,                 1.4126,                 1.6263,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.0491,                0.79919,                 1.1572,                0.77185,                0.61666,                0.71428,                0.39893,                 1.6314,                 1.3832,                 1.6262,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.0562,                0.78384,                 1.1636,                0.73219,                0.65921,                0.70547,                0.39786,                 1.6206,                 1.4326,                 1.5911,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0422,                0.78443,                 1.1458,                0.77495,                0.60255,                 0.6628,                0.37625,                 1.6358,                 1.4998,                  1.586,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.0228,                0.75325,                 1.1222,                0.75538,                0.60627,                0.70938,                0.41083,                 1.6318,                 1.3839,                 1.5932,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.0426,                0.80297,                 1.1387,                0.74818,                0.58185,                0.70039,                0.39925,                 1.6344,                  1.403,                 1.5877,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0094,                0.75827,                 1.1324,                0.65867,                0.64715,                0.69884,                0.41883,                 1.6527,                 1.4214,                 1.6453,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.0206,                 0.7864,                 1.1313,                0.64662,                0.65453,                0.68394,                0.40654,                 1.6366,                 1.4272,                 1.6099,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0149,                0.76694,                 1.1262,                0.66581,                0.66352,                0.67102,                 0.3928,                 1.6095,                 1.5228,                 1.5683,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0019,                 0.7625,                 1.1252,                0.68052,                   0.58,                0.67196,                0.38692,                 1.6538,                 1.3894,                 1.6139,             0.00039581,             0.00039581,             0.00039581
